Timestamp,Location,Mode,Position,KillCount
2018/03/08 1:34:09 AM EST,A3,Solo,10,4
2018/03/08 1:43:44 AM EST,B2,Solo,31,0
2018/03/08 2:07:46 AM EST,H6,Duo,37,1
2018/03/08 4:54:30 AM EST,F7,Squad,1,6
2018/03/08 10:38:36 AM EST,F2,Squad,1,5
2018/03/08 10:51:45 AM EST,I8,Squad,1,0
2018/03/08 12:27:53 PM EST,D5,Solo,3,6
2018/03/08 1:11:19 PM EST,C3,Squad,36,0
2018/03/08 2:30:15 PM EST,A1,Duo,2,17
2018/03/08 2:56:33 PM EST,E8,Squad,1,13
2018/03/08 6:00:50 PM EST,F7,Solo,9,3
2018/03/08 6:59:56 PM EST,D4,Squad,2,2
2018/03/08 7:02:08 PM EST,E4,Solo,1,19
2018/03/08 7:23:55 PM EST,J6,Solo,1,3
2018/03/08 9:48:54 PM EST,D6,Solo,1,5
2018/03/09 12:48:03 AM EST,H6,Squad,7,5
2018/03/09 2:18:20 PM EST,H6,Squad,8,3
2018/03/09 2:43:39 PM EST,H6,Solo,5,15
2018/03/09 11:36:33 PM EST,A5,Solo,19,1
2018/03/10 12:08:15 AM EST,D5,Solo,15,2
2018/03/10 11:18:07 AM EST,B3,Squad,1,4
2018/03/10 1:15:37 PM EST,G9,Squad,1,0
2018/03/10 2:18:29 PM EST,D3,Squad,1,3
2018/03/10 2:42:52 PM EST,D7,Duo,3,5
2018/03/10 2:42:57 PM EST,D7,Duo,3,5
2018/03/10 2:47:12 PM EST,F7,Duo,38,0
2018/03/10 2:54:05 PM EST,D5,Duo,85,3
2018/03/10 2:56:58 PM EST,I8,Duo,43,0
2018/03/10 2:57:44 PM EST,I8,Duo,43,0
2018/03/10 3:14:40 PM EST,I8,Duo,43,0
2018/03/10 3:15:12 PM EST,G4,Duo,6,1
2018/03/10 3:36:06 PM EST,I8,Duo,43,0
2018/03/10 3:36:34 PM EST,D5,Solo,37,5
2018/03/10 3:49:23 PM EST,F7,Duo,27,1
2018/03/10 5:32:56 PM EST,D5,Solo,2,6
2018/03/11 7:21:02 PM EST,I2,Solo,4,3
2018/03/11 8:15:04 PM EST,G1,Solo,5,4
2018/03/11 11:45:05 PM EST,H6,Squad,1,12
2018/03/12 9:50:52 AM EST,D5,Solo,2,4
2018/03/12 2:00:01 PM EST,C4,Squad,1,3
2018/03/12 4:16:55 PM EST,F6,Squad,15,6
2018/03/12 8:20:42 PM EST,D5,Solo,22,3
2018/03/12 8:24:43 PM EST,B3,Solo,1,0
2018/03/13 1:47:05 AM EST,H6,Squad,57,0
2018/03/13 10:34:20 AM EST,C3,Solo,2,6
2018/03/13 10:34:46 AM EST,C3,Solo,2,6
2018/03/13 10:35:06 AM EST,F3,Solo,3,6
2018/03/13 11:37:43 AM EST,D5,Solo,7,4
2018/03/13 1:51:04 PM EST,H8,Squad,1,3
2018/03/13 4:29:08 PM EST,B2,Solo,4,2
2018/03/13 5:27:45 PM EST,G6,Solo,1,5
2018/03/13 8:54:30 PM EST,D2,Duo,4,2
2018/03/14 1:24:47 AM EST,E6,Solo,1,8
