Location,KillCount,Position,Mode
D5,4,7,Solo
H8,3,1,Squad
B2,2,4,Solo
G6,5,1,Solo
D2,2,4,Duo
E6,8,1,Solo
A3,4,3,Squad
A8,8,2,Solo
B2,8,1,Solo
F2,5,1,Solo
G1,3,1,Solo
C5,5,1,Squad
J1,0,3,Solo
J1,0,3,Solo
H6,2,1,Solo
B2,4,1,Duo
D9,3,1,Solo
D5,11,1,Solo
A1,4,1,Solo
C3,4,1,Solo
A5,1,12,Solo
F10,5,1,Solo
A5,5,5,Solo
F7,4,40,Solo
H6,7,4,Squad
D5,15,3,Squad
D5,15,3,Squad
G8,3,4,Squad
C7,2,16,Duo
D9,1,9,Duo
I3,2,7,Duo
F10,3,11,Duo
C2,6,5,Solo
D8,4,1,Solo
F10,1,12,Duo
D5,5,11,Duo
D5,0,79,Solo
D5,9,1,Solo
D5,5,27,Solo
D5,5,10,Solo
G7,0,20,Solo
I6,0,23,Solo
A4,0,18,Solo
D5,7,10,Solo
D5,1,42,Solo
C5,1,1,Solo
C3,9,9,Solo
D5,1,42,Solo
D5,3,3,Solo
E4,3,8,Solo
I8,3,2,Duo
D3,1,1,Solo
H6,5,1,Squad
I8,3,2,Duo
G8,6,1,Solo
A1,3,12,Solo
A1,3,12,Solo
A3,0,99,Duo
B7,0,99,Duo
E4,1,4,Solo
D5,9,4,Solo
H10,2,5,Solo
A3,0,1,Solo
E4,3,1,Squad
F8,2,2,Squad
F8,2,2,Squad
F8,5,4,Squad
E9,6,1,Duo
D9,4,2,Solo
J10,7,1,Solo
D5,12,1,Solo
D5,11,1,Solo
D5,11,1,Solo
D5,3,1,Squad
F3,1,40,Solo
F2,9,1,Solo
A6,11,1,Solo
F4,4,2,Solo
D2,8,3,Squad
F3,12,1,Solo
B10,2,2,Solo
I4,3,1,Solo
C7,8,1,Squad
I2,10,2,Duo
H6,16,1,Solo
H6,4,20,Solo
G10,1,24,Solo
C2,2,3,Duo
C2,2,3,Duo
H4,3,1,Solo
H4,3,1,Solo
A5,5,2,Solo
J9,3,5,Solo
A9,2,13,Solo
E2,0,49,Solo
C7,0,19,Solo
G6,2,30,Solo
F7,6,1,Squad
F9,3,1,Squad
F2,11,1,Solo
F2,11,1,Solo
D5,3,2,Solo
H6,6,1,Squad
C3,7,1,Solo
B2,6,1,Solo
C3,3,2,Solo
A2,2,1,Duo
E9,2,1,Squad
A5,2,6,Solo
G4,5,2,Solo
H8,6,2,Solo
A7,4,1,Solo
I2,1,2,Solo
E4,3,1,Solo
C7,2,13,Solo
B2,7,1,Squad
H7,4,17,Solo
G6,8,1,Solo
F6,5,4,Duo
F10,8,1,Solo
F7,8,1,Solo
C4,5,2,Solo
C2,6,1,Solo
A5,2,99,Solo
F5,0,3,Solo
F7,8,6,Solo
D5,4,1,Solo
G3,3,2,Solo
D6,3,4,Squad
A5,1,11,Solo
I7,4,10,Solo
I3,0,47,Squad
A7,4,5,Solo
A4,3,13,Duo
F3,6,10,DUO
C7,0,27,DUO
C3,3,35,DUO
D7,5,18,DUO
F5,1,12,DUO
G6,3,12,DUO
D5,0,26,DUO
D6,0,41,DUO
G8,0,26,DUO
D5,1,26,DUO
C7,0,32,DUO
F6,0,22,DUO
D7,2,15,DUO
G6,2,23,DUO
H2,0,36,DUO
F6,10,2,DUO
F10,0,42,DUO
B2,3,5,DUO
